file,where,original,updated
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/5/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/6/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/14/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/16/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/17/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/18/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/19/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/20/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/21/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/27/label,Couleur du fondu,Color du fondu
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:settings/33/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multi-image-with-text.liquid,schema:blocks/0/settings/4/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-blog.liquid,schema:settings/3/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-blog.liquid,schema:settings/4/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-blog.liquid,schema:settings/9/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-blog.liquid,schema:settings/13/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-blog.liquid,schema:settings/13/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/7/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/9/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/10/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/11/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/12/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/14/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/16/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/17/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/19/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/22/default,Suivre @shopiweb,Follow @shopiweb
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/24/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/29/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/instagram-gallery.liquid,schema:settings/29/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/external-video.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/external-video.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/external-video.liquid,schema:settings/8/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/16/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/18/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/19/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/20/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/21/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/22/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/23/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/25/label,Couleur du SVG,Color du SVG
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/parallax-image.liquid,schema:settings/31/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:settings/1/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:settings/2/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/0/settings/1/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/1/name,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/1/settings/0/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/1/settings/1/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/1/settings/2/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/discount-bar.liquid,schema:blocks/2/settings/0/default,Livraison gratuite à partir de 100 euros,Shipping gratuite à partir de 100 euros
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/4/label,Quantité maximale de produits à afficher,Quantity maximale de produits à afficher
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/6/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/10/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/12/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/13/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/14/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/15/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/17/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/18/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/19/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/20/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/21/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/24/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/28/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/31/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/32/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-products.liquid,schema:settings/60/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/newsletter-popup.liquid,schema:settings/5/label,Jours d'attente,Days d'attente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/newsletter-popup.liquid,schema:settings/6/label,Titre de la popup,Title de la popup
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/newsletter-popup.liquid,schema:settings/7/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/newsletter-popup.liquid,schema:settings/8/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/18/label,Couleur d'en-tête de la carte,Color d'en-tête de la carte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/19/label,Titre d'en-tête de la carte,Title d'en-tête de la carte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/21/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/23/label,Couleur du bouton 'Ajouter le lot au panier',Color du bouton 'Ajouter le lot au panier'
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/24/label,Couleur du bouton 'Afficher le contenu du lot',Color du bouton 'Afficher le contenu du lot'
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/26/label,Couleur - Inachevé,Color - Inachevé
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/27/label,Couleur - Complété,Color - Complété
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/32/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/35/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:settings/36/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/0/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/0/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/0/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/0/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/1/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/1/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/1/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection-bundle.liquid,schema:blocks/1/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/multicolumn.liquid,schema:blocks/0/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/7/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/10/label,Couleur du fond,Color du fond
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/11/label,Couleur du SVG,Color du SVG
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/17/label,Couleur SVG,Color SVG
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/18/info,Permet d'intégrer une couleur intermédiaire sélectionnée dans la vague de premier plan pour créer un effet visuel unique.,Permet d'intégrer une color intermédiaire sélectionnée dans la vague de premier plan pour créer un effet visuel unique.
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/19/label,Couleur intermédiaire,Color intermédiaire
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/custom-border.liquid,schema:settings/20/label,Opacité couleur intermédiaire,Opacité color intermédiaire
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/6/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/8/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/9/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/10/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/11/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/12/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/13/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/14/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/16/label,Quantité maximale de produits à afficher,Quantity maximale de produits à afficher
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/20/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/recently-viewed.liquid,schema:settings/22/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/7/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/13/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/21/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/27/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/30/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:settings/31/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/0/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/0/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/0/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/0/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/1/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/1/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/1/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/template-collection.liquid,schema:blocks/1/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/3/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/8/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/10/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/11/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/12/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/13/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/15/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/16/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/17/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/18/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/19/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/23/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/26/label,Couleur du fondu,Color du fondu
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/26/info,Choisissez la couleur pour les dégradés de l'overlay sur les côtés gauche et droit. Cette couleur sera utilisée avec différentes opacités pour créer l'effet de dégradé.,Choisissez la color pour les dégradés de l'overlay sur les côtés gauche et droit. Cette color sera utilisée avec différentes opacités pour créer l'effet de dégradé.
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:settings/29/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:blocks/0/settings/7/options/0/label,Gauche à Droite,Left à Droite
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/scrolling-image.liquid,schema:blocks/0/settings/7/options/1/label,Droite à Gauche,Droite à Left
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/9/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/11/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/12/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/13/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/14/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/16/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/17/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/18/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/19/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/20/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/23/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/23/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/30/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/33/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:settings/41/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/0/settings/2/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/0/settings/3/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/0/settings/4/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/0/settings/5/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/1/settings/2/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/1/settings/3/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/1/settings/4/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/quiz.liquid,schema:blocks/1/settings/5/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/6/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/8/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/9/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/10/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/11/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/13/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/14/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/15/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/22/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:settings/28/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:blocks/0/settings/2/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/featured-collections.liquid,schema:blocks/0/settings/3/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/age-verfication-modal.liquid,schema:settings/5/label,Jours d'attente,Days d'attente
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/age-verfication-modal.liquid,schema:settings/8/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/age-verfication-modal.liquid,schema:settings/9/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/age-verfication-modal.liquid,schema:settings/14/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/age-verfication-modal.liquid,schema:settings/21/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/1/info,"Si aucune image n'est sélectionnée, les options de couleur d'arrière-plan ci-dessous seront appliquées.","Si aucune image n'est sélectionnée, les options de color d'arrière-plan ci-dessous seront appliquées."
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/4/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/5/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/14/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/20/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/theme-prod-reference/sections/image-with-text-counters.liquid,schema:settings/22/label,Légende Texte,Caption Texte
